SiteName,HotspotID,CacheFile,TotalChecklists,TotalSpecies
Breaks Interstate Park,L718336,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/066_breaks_interstate_park_L718336.rds,583,156
Brent and Becky's Bulbs,L1338243,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/067_brent_and_becky_s_bulbs_L1338243.rds,191,105
Bridle Creek Public Boat Landing,L718338,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/068_bridle_creek_public_boat_landing_L718338.rds,122,115
Briery Branch Dam/Briery Lake,L718339,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/069_briery_branch_dam_briery_lake_L718339.rds,340,147
Briery Creek Wildlife Management Area,L1042010,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/070_briery_creek_wildlife_management_area_L1042010.rds,874,192
Briery Presbyterian Church and Headwaters of Briery Creek,L718341,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/071_briery_presbyterian_church_and_headwaters_of_briery_creek_L718341.rds,40,63
Brownsville Preserve,L718342,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/072_brownsville_preserve_L718342.rds,948,231
Brushy Hills,L718344,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/073_brushy_hills_L718344.rds,49,80
Bryan Park,L303334,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/074_bryan_park_L303334.rds,3902,189
Buckner-Bumpass Park,L718345,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/075_buckner_bumpass_park_L718345.rds,38,104
Buffalo Mountain Natural Area Preserve,L718347,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/076_buffalo_mountain_natural_area_preserve_L718347.rds,137,109
Bull Run Mountains State Natural Area Preserve,L718350,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/077_bull_run_mountains_state_natural_area_preserve_L718350.rds,185,122
Bull Run Regional Park,L718351,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/078_bull_run_regional_park_L718351.rds,650,161
"Bull Run-Occoquan Trail, Bull Run Marina Entrance",L718349,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/079_bull_run_occoquan_trail_bull_run_marina_entrance_L718349.rds,263,126
"Bull Run-Occoquan Trail, Fountainhead Regional Park Entrance",L460103,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/080_bull_run_occoquan_trail_fountainhead_regional_park_entrance_L460103.rds,282,148
Bullitt Park/Greenbelt Trail,L718352,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/081_bullitt_park_greenbelt_trail_L718352.rds,20,68
Burke Lake Park,L718353,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/082_burke_lake_park_L718353.rds,3835,205
Burke's Garden,L718354,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/083_burke_s_garden_L718354.rds,601,205
Bush Mill Stream Natural Area Preserve,L718356,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/084_bush_mill_stream_natural_area_preserve_L718356.rds,73,98
Byrd Park,L2182364,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/085_byrd_park_L2182364.rds,1086,143
C. F. Phelps Wildlife Management Area,L718357,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/086_c_f_phelps_wildlife_management_area_L718357.rds,128,151
C.M. Crockett Park,L718358,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/087_c_m_crockett_park_L718358.rds,1343,198
Caledon State Park,L718360,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/088_caledon_state_park_L718360.rds,439,179
Camp Roosevelt Recreation Area,L718363,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/089_camp_roosevelt_recreation_area_L718363.rds,23,58
Cape Charles Beach and Harbor,L872490,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/090_cape_charles_beach_and_harbor_L872490.rds,1005,195
Cape Charles Natural Area Preserve,L598037,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/091_cape_charles_natural_area_preserve_L598037.rds,936,260
Cape Henry Lighthouse at Joint Expeditionary Base Fort Story,L159305,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/092_cape_henry_lighthouse_at_joint_expeditionary_base_fort_story_L159305.rds,521,216
Cappahosic Beach Boat Landing,L718364,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/093_cappahosic_beach_boat_landing_L718364.rds,193,106
Carrollton Nike Park,L353227,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/094_carrollton_nike_park_L353227.rds,183,130
Carvins Cove Natural Reserve -- Bennett Springs,L21922754,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/095_carvins_cove_natural_reserve_bennett_springs_L21922754.rds,33,76
Carvins Cove Natural Reserve -- Boat Ramp,L159287,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/096_carvins_cove_natural_reserve_boat_ramp_L159287.rds,925,187
Cascades,L718367,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/097_cascades_L718367.rds,138,90
"Catherine Furnace, U.S. Forest Service",L718368,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/098_catherine_furnace_u_s_forest_service_L718368.rds,10,45
Cavitt's Creek,L718369,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/099_cavitt_s_creek_L718369.rds,308,158
"Chancellorsville Battlefield, Fredericksburg & Spotsylvania National Military Park",L312699,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/100_chancellorsville_battlefield_fredericksburg_spotsylvania_national_military_park_L312699.rds,146,120
Channels State Forest and Natural Area Preserve,L718291,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/101_channels_state_forest_and_natural_area_preserve_L718291.rds,19,59
Charlotte State Forest,L18180380,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/102_charlotte_state_forest_L18180380.rds,18,75
Chateau Morrisette Winery,L718371,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/103_chateau_morrisette_winery_L718371.rds,35,56
Chesapeake Arboretum,L619342,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/104_chesapeake_arboretum_L619342.rds,507,151
Chesapeake Bay Bridge-Tunnel,L718337,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/105_chesapeake_bay_bridge_tunnel_L718337.rds,606,152
Chesapeake Bay Bridge-Tunnel,L718370,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/106_chesapeake_bay_bridge_tunnel_L718370.rds,1487,312
Chessie Nature Trail,L718374,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/107_chessie_nature_trail_L718374.rds,175,127
Chestnut Ridge Trail,L718375,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/108_chestnut_ridge_trail_L718375.rds,145,90
Chickahominy Riverfront Park,L718377,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/109_chickahominy_riverfront_park_L718377.rds,409,185
Chickahominy Wildlife Management Area,L718376,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/110_chickahominy_wildlife_management_area_L718376.rds,121,122
Chimborazo Park and Chimborazo Medical Museum,L443258,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/111_chimborazo_park_and_chimborazo_medical_museum_L443258.rds,243,132
Chincoteague National Wildlife Refuge,L718378,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/112_chincoteague_national_wildlife_refuge_L718378.rds,10136,352
Chinquapin Park,L159293,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/113_chinquapin_park_L159293.rds,213,122
Chippokes State Park,L718379,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/114_chippokes_state_park_L718379.rds,664,195
Chris Greene Lake,L879912,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/115_chris_greene_lake_L879912.rds,2148,201
Chub Sandhill Natural Area Preserve,L718381,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/116_chub_sandhill_natural_area_preserve_L718381.rds,148,133
Claude Moore Park,L515090,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/117_claude_moore_park_L515090.rds,2120,183
Claytor Lake State Park,L718383,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/118_claytor_lake_state_park_L718383.rds,1346,203
Claytor Nature Center,L718384,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/119_claytor_nature_center_L718384.rds,226,142
Clear Creek Lake - Bristol,L718385,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/120_clear_creek_lake_bristol_L718385.rds,128,140
Clinch Mountain Wildlife Management Area,L718565,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/121_clinch_mountain_wildlife_management_area_L718565.rds,110,159
Cloud Hill Farm,L718386,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/122_cloud_hill_farm_L718386.rds,12,46
"Cold Harbor Battlefield, Richmond National Battlefield Park",L718387,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/123_cold_harbor_battlefield_richmond_national_battlefield_park_L718387.rds,146,107
Collinsville Jaycee Park,L718388,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/124_collinsville_jaycee_park_L718388.rds,29,52
"Colonial Parkway, a Unit of Colonial National Historical Park",L159296,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/125_colonial_parkway_a_unit_of_colonial_national_historical_park_L159296.rds,203,150
Compton Mountain to Horn Mountain Driving Loop,L191448,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/126_compton_mountain_to_horn_mountain_driving_loop_L191448.rds,532,146
Conway-Robinson State Forest,L718391,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/127_conway_robinson_state_forest_L718391.rds,349,143
CornerStone Farm,L18828137,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/128_cornerstone_farm_L18828137.rds,4,76
County Park at Great Creek,L718394,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/129_county_park_at_great_creek_L718394.rds,73,99
County Pond/Brunswick Lake,L718395,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/130_county_pond_brunswick_lake_L718395.rds,43,100
Coursey Springs Fish Cultural Station,L617674,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/131_coursey_springs_fish_cultural_station_L617674.rds,30,106
Crabtree Falls (U.S. Forest Service),L718396,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/132_crabtree_falls_u_s_forest_service_L718396.rds,101,95
Craig Creek Recreation Area,L718397,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/133_craig_creek_recreation_area_L718397.rds,19,73
Cranes Nest River Trail,L718398,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/134_cranes_nest_river_trail_L718398.rds,5,40
Crawfish Valley,L11842608,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/135_crawfish_valley_L11842608.rds,9,65
Crawfords State Forest,L718400,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/136_crawfords_state_forest_L718400.rds,69,101
Crooked Creek Wildlife Management Area,L718401,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/137_crooked_creek_wildlife_management_area_L718401.rds,92,111
Cumberland Gap National Historical Park/Wilderness Road Campground,L718404,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/138_cumberland_gap_national_historical_park_wilderness_road_campground_L718404.rds,153,112
Cumberland State Forest,L1091010,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/139_cumberland_state_forest_L1091010.rds,52,75
Curtis Memorial Park,L718406,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/140_curtis_memorial_park_L718406.rds,70,109
Custis Tombs,L559234,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/141_custis_tombs_L559234.rds,143,178
DWR POWRR Property - Falls Mills Lake,L3093599,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/142_dwr_powrr_property_falls_mills_lake_L3093599.rds,556,181
DWR POWRR Property - Rexrena Boating Access Site,L31286448,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/143_dwr_powrr_property_rexrena_boating_access_site_L31286448.rds,5,36
DWR POWRR Property – Big Cedar Creek Farm,L22468691,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/144_dwr_powrr_property_big_cedar_creek_farm_L22468691.rds,16,38
"Dabney's Mill Landing, King William County",L718408,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/145_dabney_s_mill_landing_king_william_county_L718408.rds,11,67
Dameron Marsh Natural Area Preserve,L421042,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/146_dameron_marsh_natural_area_preserve_L421042.rds,380,195
Dan Daniel Memorial Park and Danville Riverwalk Trail,L519621,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/147_dan_daniel_memorial_park_and_danville_riverwalk_trail_L519621.rds,419,166
Darden Towe Park,L718410,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/148_darden_towe_park_L718410.rds,450,142
"Dark Hollow Falls Trail, Shenandoah National Park",L718411,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/149_dark_hollow_falls_trail_shenandoah_national_park_L718411.rds,342,122
Deep Bottom Park,L418431,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/150_deep_bottom_park_L418431.rds,173,131
Deep Run Park,L246147,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/151_deep_run_park_L246147.rds,701,138
Deer Park,L718414,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/152_deer_park_L718414.rds,59,102
Deerfield Trail,L2394070,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/153_deerfield_trail_L2394070.rds,1162,162
Devil's Den Nature Preserve,L718415,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/154_devil_s_den_nature_preserve_L718415.rds,91,101
